Key,English,Russian,Turkish,German,French,Spanish
Common.GameName,STEVE NOOB DRIFTER,НУБИК ДРИФТЕР,STEVE ÇAYLAK SERSERİ,STEVE NOOB DRIFTER,STEVE NOOB VAGABOND,STEVE NOVATO VAGABUNDO
Common.StudioName,"QWINO 
GAMES
studio","студия
QWINO 
GAMES","QWINO
GAMES
stüdyo","QWINO 
GAMES
studio","QWINO 
GAMES
atelier","QWINO 
GAMES
estudio"
Common.GO,GO!,Вперед!,İleri!,LOS!,Allez-y!,¡VETE!
Common.Level,Level {0},Уровень {0},Seviye {0},Stufe {0},Niveau {0},Nivel {0}
Common.Play,Play {0} level,Играть {0} уровень,{0} seviyesini oyna,{0} Level abspielen,"Jouer au niveau {0} ","Nivel de juego {0} "
Common.Back,BACK,НАЗАД,GERİ,ZURÜCK,RETOUR,ATRÁS
Common.PressToContinue,Press to start...,Нажмите для старта...,Basın başlatmak için...,"Drücken Sie, um zu starten...",Appuyez sur pour démarrer...,Presione para comenzar...
Common.Shop,SHOP,МАГАЗИН,MAĞAZA,GESCHÄFT,BOUTIQUE,TIENDA
Common.MainMenu.CameraAndroidText,TOUCH AND ROTATE,ПРИКОСНИСЬ И ВРАЩАЙ,DOKUN VE DÖNDÜR,BERÜHREN UND DREHEN,TOUCHEZ ET FAITES PIVOTER,TOQUE Y GIRE
Common.MainMenu.CameraPCText,CLICK AND ROTATE,ЗАЖМИ И ВРАЩАЙ,TIKLAYIN VE DÖNDÜRÜN,KLICKEN UND DREHEN,CLIQUEZ ET FAITES PIVOTER,HAGA CLIC Y GIRE
Common.Settings,SETTINGS,НАСТРОЙКИ,AYARLAR,EINSTELLUNG,PARAMÈTRES,AJUSTES
Education.HowToPlay,How to play?,Как играть?,Nasıl oynanır?,Wie man spielt?,Comment jouer?,¿Cómo jugar?
Education.Play,Play,Играть,Oynamak,Spielt,Jouer,Jugar
